project,area_bucket,district,tenure,propertyType,avg_buy,most_recent_buy,avg_buy_2020,avg_buy_2021,avg_buy_2022,avg_buy_2023,avg_buy_2024,avg_buy_2025,avg_rent,most_recent_rent,avg_rent_2020,avg_rent_2021,avg_rent_2022,avg_rent_2023,avg_rent_2024,avg_rent_2025,ROI
# 1 LOFT,100-150,14.0,Freehold,Apartment,1127000.0,1154000.0,,1127000.0,,,,,,,,,,,,,
# 1 LOFT,120-130,,,,,,,,,,,,3950.0,4500.0,,3375.0,4000.0,4800.0,4650.0,,
# 1 LOFT,40-50,,,,,,,,,,,,2690.0,2800.0,,,,2600.0,2712.5,,
# 1 LOFT,50-60,14.0,Freehold,Apartment,699292.6,732888.0,652666.6666666666,675169.7142857143,704222.0,770000.0,747666.6666666666,735888.0,2509.3023255813955,2800.0,2000.0,2037.0967741935483,2521.4285714285716,3246.6666666666665,2691.6666666666665,2783.3333333333335,21.81214285714286
# 1 LOFT,60-70,,,,,,,,,,,,2650.0,3200.0,,2100.0,,3200.0,,,
# 1 LOFT,80-90,14.0,Freehold,Apartment,1150000.0,1150000.0,,,,1150000.0,,,3050.0,3300.0,,,,,2800.0,3300.0,29.04040404040404
# 1 LOFT,90-100,,,,,,,,,,,,3300.0,3300.0,,3200.0,3350.0,,3325.0,3300.0,
# 1 SUITES,40-50,,,,,,,,,,,,2778.5714285714284,3100.0,,,,2610.0,3200.0,,
# 1 SUITES,50-60,14.0,Freehold,Apartment,697349.6470588235,719888.0,,660750.0,693285.7142857143,731800.0,730500.0,712444.0,2858.1632653061224,3500.0,,2150.344827586207,2597.7272727272725,3511.904761904762,3331.764705882353,3355.5555555555557,17.140190476190476
# 1 SUITES,60-70,14.0,Freehold,Apartment,737200.0,818000.0,685000.0,735000.0,713000.0,,818000.0,,2833.3333333333335,3400.0,,1950.0,1975.0,3850.0,3400.0,,20.04901960784314
# 1 SUITES,70-80,14.0,Freehold,Apartment,780000.0,780000.0,,780000.0,,,,,,,,,,,,,
1 CANBERRA,100-150,27.0,99 yrs lease commencing from 2012,Executive Condominium,1253686.7301587302,1638888.0,1107974.4,1166428.5714285714,1284600.0,1493500.0,1550752.888888889,,,,,,,,,,
1 CANBERRA,110-120,,,,,,,,,,,,3375.0,3000.0,,3175.0,2980.0,3650.0,4200.0,3000.0,
1 CANBERRA,130-140,,,,,,,,,,,,3120.0,4500.0,,2025.0,4950.0,2425.0,4175.0,,
1 CANBERRA,150-200,27.0,99 yrs lease commencing from 2012,Executive Condominium,1814000.0,2150000.0,,1478000.0,,2150000.0,,,,,,,,,,,
1 CANBERRA,160-170,,,,,,,,,,,,4500.0,4500.0,,,4500.0,,,,
1 CANBERRA,200-210,,,,,,,,,,,,4575.0,5600.0,,3550.0,,5600.0,,,
1 CANBERRA,200-250,27.0,99 yrs lease commencing from 2012,Executive Condominium,1920083.3333333333,2200000.0,1640000.0,1830250.0,2106666.6666666665,,2240000.0,,,,,,,,,,
1 CANBERRA,250-300,27.0,99 yrs lease commencing from 2012,Executive Condominium,2310000.0,2280000.0,,2340000.0,2280000.0,,,,,,,,,,,,
